payment_type,count(payment_type),PUHour
2,500803,3
1,4541194,20
4,4989,7
2,1193037,7
4,5738,8
4,9797,16
2,2211859,18
2,1855082,20
2,1931736,11
2,2044297,12
2,1739036,22
1,3669731,9
3,22982,10
2,2185212,14
1,2643919,0
4,7150,10
2,1567806,9
4,9828,17
2,468300,4
3,24884,11
1,3400960,10
4,5904,1
4,8330,20
2,858948,1
4,8281,21
3,32484,14
3,17691,2
4,9504,14
4,4986,2
3,15305,4
2,2099248,19
1,4295566,22
2,2076437,17
1,3470812,11
2,2142763,15
1,3476194,16
1,4844326,19
1,3555234,23
2,1830969,21
1,4832843,18
1,3818686,14
1,4498101,21
1,4096198,17
2,1773870,10
1,3652937,12
2,1492806,23
1,3760568,15
1,3653382,13
2,2082911,13
2,1940836,16
1,3015004,7
1,1359082,2
1,1903589,1
1,3774436,8
2,1161129,0
2,1389482,8
1,1690129,6
3,33981,15
3,28009,22
2,639410,2
3,29931,13
3,33442,18
1,940363,3
2,440555,5
3,29077,20
1,643470,4
4,10094,15
3,33790,17
3,31815,19
3,28582,21
1,706629,5
3,27402,12
3,32872,16
3,27057,23
2,852026,6
3,20632,1
4,8169,22
4,7702,11
3,12579,5
4,8897,13
3,15831,3
4,7881,23
3,16660,6
3,21485,9
4,9180,19
3,19890,8
4,9662,18
3,24287,0
3,18315,7
4,8424,12
4,6687,0
4,6392,9
4,4519,3
4,4225,6
4,4633,4
4,3109,5
5,1,19
5,1,14
5,1,5
