AverageTrips,PUDay
43617.880952380954,14
45257.357142857145,16
45292.833333333336,18
45113.119047619046,21
43145.614457831325,26
44507.119047619046,28
45756.369047619046,8
45825.82142857143,10
46165.15476190476,11
45802.97619047619,12
46664.48809523809,13
45177.01190476191,15
45221.05952380953,17
44941.92857142857,19
44836.07142857143,20
45520.90243902439,22
42358.09523809524,23
42314.92857142857,24
42971.20481927711,25
43522.98809523809,27
42905.51948051948,29
42650.01298701299,30
42762.69387755102,31
43520.65476190476,2
44154.71428571428,1
44057.80952380953,4
46666.35365853659,6
46373.96428571428,7
43733.84523809524,9
44081.25,3
44378.5,5
